Peso específico (kN/m³),Ángulo de fricción (°),Cohesión (kPa),Altura del talud (m),Ángulo del talud (°),kh,Slope stability
16.5,0,37,3.5,48,0,1.4602
18,0,48,6,35,0,1.3621
17.5,0,37,3.75,28,0,1.8031
16.5,0,48,3.25,81,0,2.1826
17.5,0,46,6.75,18,0,1.3793
19,0,53,7.5,15,0,1.388
17,0,46,4,36,0,2.3639
17,0,80,11.25,34,0,1.241
18.5,0,47,4.25,30,0,2.0631
17.5,0,41,3.25,39,0,2.4911
18.5,0,59,5.5,77,0,0.8699
18.5,0,54,5.5,56,0,1.1792
18.5,0,60,7.75,35,0,1.3978
19,0,79,11,23,0,1.4141
20,0,71,11.25,43,0,1.1411
17.5,0,63,3.25,81,0,2.7429
20.5,0,65,10.5,37,0,1.1803
19,0,86,12.25,15,0,1.4231
17.5,0,70,9,25,0,1.4675
18,0,77,9,69,0,0.8329
19.5,0,74,9.75,67,0,0.8491
17,0,68,6.5,62,0,1.7848
17,0,74,10.25,32,0,1.3868
19,0,60,5.5,76,0,1.3351
18.5,0,41,4.25,34,0,1.6044
18,0,54,3,77,0,2.5955
19,0,42,4.25,59,0,1.1817
18,0,42,3,45,0,2.6175
18.5,0,54,6.25,30,0,1.5159
19,0,59,4.25,88,0,1.6183
18,0,54,5.75,23,0,1.6595
17,0,80,10.75,26,0,1.4722
19.5,0,46,4.5,33,0,1.6556
20,0,46,3,89,0,1.6724
17,0,53,4.5,46,0,2.2154
19,0,57,5,58,0,1.5879
21,0,59,7.75,15,0,1.4131
19.5,0,65,7.75,47,0,1.3564
21,0,45,5.25,87,0,0.4026
17,0,78,9,43,0,1.3046
19,0,86,10.75,43,0,1.3429
18,0,95,7,79,0,1.9028
17,0,70,6.75,62,0,1.3851
19,0,52,5,22,0,1.8491
19.5,0,67,8.5,33,0,1.4238
16.5,0,48,4.25,30,0,2.3723
18.5,0,53,4.75,15,0,1.9287
17,0,59,6,34,0,1.6803
19,0,74,4.5,41,0,3.035
18.5,0,75,6.75,28,0,1.7571
19,0,79,7.5,49,0,1.2696
16.5,0,57,4.25,37,0,2.7191
20,0,73,5.5,49,0,2.2322
19,0,72,4.5,18,0,3.0852
19,0,55,4.75,41,0,1.8121
18.5,0,95,9,51,0,1.1811
19,0,88,7,36,0,2.3435
17.5,0,86,4.5,39,0,3.766
18,0,69,4.75,35,0,2.9215
20,0,51,4.25,67,0,1.2207
16.5,0,56,4,32,0,2.881
17.5,0,55,3.5,48,0,3.0262
16.5,0,59,4.5,38,0,2.7125
18.5,0,52,3.25,40,0,3.0012
17.5,0,59,3,63,0,3.424
17.5,15,12,17.25,59,0.29,0.3386
14,18.5,19,35,47,0.28,0.4224
16.5,20.5,17,48.75,52,0.24,0.3542
15,16.5,23,29.25,89,0.22,0.3009
18.5,31.5,2,27.25,72,0.21,0.2303
18.5,28,10,23.25,85,0.04,0.4056
18,31,6,30.5,62,0.26,0.3042
18,33.5,1,35.5,62,0.28,0.1885
19.5,22,17,38,60,0.23,0.3499
19.5,19.5,40,32,70,0.25,0.4396
19,19.5,25,41.25,73,0.13,0.3655
17,20,32,21.5,88,0.23,0.3965
20.5,33,2,45.75,78,0.19,0.2241
20,34.5,2,17.25,77,0.1,0.3273
19,38.5,0,20.25,78,0.02,0.3655
21,34,1,33.5,73,0.01,0.3681
21,30.5,9,41.75,79,0.08,0.3455
18,27.5,7,47.5,85,0.07,0.3096
17.5,31,7,41.5,73,0.09,0.3563
20,32,6,48.75,85,0.05,0.3418
19,20.5,21,49.25,84,0.26,0.227
18.5,20,17,32.75,61,0.2,0.3709
16.5,24.5,16,39.25,87,0.01,0.3959
18,26.5,14,48,70,0.3,0.2505
21.5,37.5,7,20,81,0.24,0.275
18.5,34.5,15,38.25,87,0.3,0.2262
19.5,36,5,13.25,84,0.26,0.2606
20,37,7,40.5,89,0.26,0.2016
17,23.5,30,24.75,89,0.28,0.3499
19,29.5,12,18.25,89,0.27,0.2783
18.5,21,13,47.75,89,0.01,0.323
19.5,21,13,30.25,81,0.25,0.243
17.5,27,36,36,81,0.24,0.4044
17.5,27.5,46,44.5,78,0.22,0.4505
19.5,21.5,45,21.25,89,0.23,0.4209
17,22,20,15.75,86,0.14,0.4443
20,28,31,34.75,80,0.3,0.3365
19.5,25,18,46,88,0.06,0.3463
17.5,26,19,37.5,83,0.23,0.2953
18.5,26.5,17,50,70,0.23,0.3064
18,30,4,19.5,70,0.23,0.2781
21.5,30,5,17.75,68,0.25,0.2884
20,31,0,11,73,0.25,0.167
19.5,35,4,31,86,0.05,0.3601
21,26.5,6,38.25,88,0.1,0.2814
16,29.5,10,35,67,0.24,0.3314
21,27.5,10,42.75,56,0.29,0.2982
17.5,27.5,13,45.5,79,0.3,0.2222
18,29.5,7,29.25,67,0.23,0.3036
20,32,0,31.25,71,0.07,0.2919
18.5,29.5,9,33.75,76,0.28,0.2397
18,30.5,8,43,84,0.17,0.2691
17,18.5,24,13.75,84,0.23,0.4436
18.5,19,20,40.25,50,0.26,0.3695
19,21,20,39.25,54,0.27,0.3683
18,20.5,15,9.5,85,0.14,0.4602
17,24,16,30.25,68,0.23,0.3676
16.5,20.5,20,35.5,59,0.27,0.3777
17,20,19,21.5,88,0.04,0.4262
17.5,20,24,25.75,78,0.19,0.3931
14.5,21,24,36,47,0.02,0.7014
17.5,17.5,25,46.75,28,0.24,0.4469
15,18,25,6.25,79,0.24,0.5033
17.5,19,13,34,40,0.12,0.4643
20,29.5,10,46.5,27,0.13,0.5831
17,28.5,4,20.75,46,0.19,0.4307
17,30.5,4,21.5,41,0.25,0.4343
16.5,33.5,5,37.75,26,0.11,0.6522
18.5,23,19,26.25,40,0.19,0.584
18.5,24,37,45.75,56,0.23,0.5074
20,19.5,27,17,53,0.07,0.7628
19.5,25.5,31,40.5,42,0.19,0.6176
20.5,36.5,1,31.25,49,0.1,0.451
18,39,1,31.25,33,0.21,0.5055
19.5,40,0,13,72,0.09,0.3035
20,35,3,12.25,46,0.22,0.5
17,30.5,13,40,36,0.03,0.7547
18,34,14,12.25,74,0.23,0.541
18.5,27.5,14,23,36,0.18,0.6481
20.5,26.5,14,24,50,0.28,0.451
18.5,23.5,13,48.5,15,0.18,0.5018
16,20.5,19,30.25,47,0.26,0.4651
19,25.5,18,16.25,42,0.23,0.6802
16.5,21,19,39.25,42,0.14,0.5258
21.5,35.5,19,22.5,31,0.3,0.7248
21,33,20,36,69,0.08,0.5286
18.5,35,6,34.75,23,0.17,0.643
22,32,20,13.75,44,0.25,0.7827
18,30,14,11.75,61,0.06,0.7985
19,20,18,36.75,25,0.14,0.5403
17.5,23.5,13,23.5,49,0.2,0.4984
17,23.5,15,24.5,43,0.22,0.5376
17.5,25.5,43,38.25,68,0.24,0.5178
19,25.5,21,42.75,57,0.17,0.4597
20,27.5,47,33,77,0.06,0.6217
19.5,21,30,10.5,55,0.28,0.7577
18,28.5,19,4.5,84,0.11,0.647
20,22.5,26,12.5,87,0.08,0.4852
16,32,20,44.5,29,0.23,0.6805
19.5,24.5,26,32.5,30,0.29,0.5749
20,28,2,13.25,73,0.07,0.3352
22,32.5,10,32,50,0.29,0.4043
21.5,30,12,14.75,80,0.04,0.5096
19,29,2,18,21,0.24,0.4367
19.5,34,9,31,29,0.02,0.8466
18.5,30,8,26.75,51,0.05,0.5886
18,29,8,12.5,18,0.2,0.7395
18,32,9,41,47,0.29,0.3998
17.5,31.5,3,11.5,73,0.13,0.3683
18.5,29,1,9.25,19,0.21,0.4674
20,29,10,20.75,22,0.25,0.5995
18.5,36,2,47.5,25,0.19,0.5219
18,22.5,27,13.25,83,0.23,0.4681
